web-scraper-job-id,web-scraper-order,web-scraper-start-url,data4,data5,data6,data8,title,减价1,time-scraped
34964951,1760539715-1,https://www.1-chome.com/mobile?category=RGNg976kptBN7UjF,カートに入れる,"¥188,000",未開封,新品,iPhone 17 Pro 256GB,,2025-10-15 23:48:35
34964951,1760539715-2,https://www.1-chome.com/mobile?category=RGNg976kptBN7UjF,カートに入れる,"¥217,500",未開封,新品,iPhone 17 Pro 512GB,,2025-10-15 23:48:35
34964951,1760539715-3,https://www.1-chome.com/mobile?category=RGNg976kptBN7UjF,カートに入れる,"¥249,200",未開封,新品,iPhone 17 Pro 1TB,,2025-10-15 23:48:35
34964951,1760539715-4,https://www.1-chome.com/mobile?category=RGNg976kptBN7UjF,カートに入れる,"¥205,000",未開封,新品,iPhone 17 Pro Max 256GB,シルバー　-8000/ディープブルー　-9000,2025-10-15 23:48:35
34964951,1760539715-5,https://www.1-chome.com/mobile?category=RGNg976kptBN7UjF,カートに入れる,"¥235,000",未開封,新品,iPhone 17 Pro Max 512GB,"シルバー-3,500/ディープブルー-3,500",2025-10-15 23:48:35
34964951,1760539715-6,https://www.1-chome.com/mobile?category=RGNg976kptBN7UjF,カートに入れる,"¥270,000",未開封,新品,iPhone 17 Pro Max 1TB,シルバー　-3000 ブルー -3000,2025-10-15 23:48:35
34964951,1760539715-7,https://www.1-chome.com/mobile?category=RGNg976kptBN7UjF,カートに入れる,"¥326,000",未開封,新品,iPhone 17 Pro Max 2TB,シルバー/ディープブルー　-1000,2025-10-15 23:48:35
34964951,1760539715-8,https://www.1-chome.com/mobile?category=RGNg976kptBN7UjF,カートに入れる,"¥129,000",未開封,新品,iPhone Air 256GB,ブルー　-4000,2025-10-15 23:48:35
34964951,1760539715-9,https://www.1-chome.com/mobile?category=RGNg976kptBN7UjF,カートに入れる,"¥158,000",未開封,新品,iPhone Air 512GB,,2025-10-15 23:48:35
34964951,1760539715-10,https://www.1-chome.com/mobile?category=RGNg976kptBN7UjF,カートに入れる,"¥186,000",未開封,新品,iPhone Air 1TB,,2025-10-15 23:48:35
