web-scraper-job-id,web-scraper-order,web-scraper-start-url,data2-1,data2-2,data2-3,data2-4,data2-5,data3,data5,data6,data7,time-scraped
34964997,1760539975-1,https://www.mobile-ichiban.com/Prod/1/01,iPhone 17 Pro Max 256GB,simfree未開封,,,,"205,000円",青-9000+++銀-8000,iPhone 17 Pro Max 256GB,,2025-10-15 23:52:55
34964997,1760539975-2,https://www.mobile-ichiban.com/Prod/1/01,iPhone 17 Pro 256GB,simfree未開封,,,,"188,000円",,iPhone 17 Pro 256GB,,2025-10-15 23:52:55
34964997,1760539975-3,https://www.mobile-ichiban.com/Prod/1/01,iPhone 16e 128GB,simfree未開封,,,,"85,000円",△-14000,iPhone 16e 128GB,,2025-10-15 23:52:55
34964997,1760539975-4,https://www.mobile-ichiban.com/Prod/1/01,iPhone 17 Pro Max 256GB,simfree開封,,,,"183,000円",,iPhone 17 Pro Max 256GB,,2025-10-15 23:52:55
34964997,1760539975-5,https://www.mobile-ichiban.com/Prod/1/01,iPhone 17 Pro Max 512GB,simfree未開封,,,,"235,500円",青-4500+++銀-4500,iPhone 17 Pro Max 512GB,,2025-10-15 23:52:55
34964997,1760539975-6,https://www.mobile-ichiban.com/Prod/1/01,iPhone 17 Pro Max 512GB,simfree開封,,,,"213,000円",,iPhone 17 Pro Max 512GB,,2025-10-15 23:52:55
34964997,1760539975-7,https://www.mobile-ichiban.com/Prod/1/01,iPhone 17 Pro Max 1TB,simfree未開封,,,,"270,000円",銀-3000+++青-3000,iPhone 17 Pro Max 1TB,,2025-10-15 23:52:55
34964997,1760539975-8,https://www.mobile-ichiban.com/Prod/1/01,iPhone 17 Pro Max 1TB,simfree開封,,,,"254,000円",,iPhone 17 Pro Max 1TB,,2025-10-15 23:52:55
34964997,1760539975-9,https://www.mobile-ichiban.com/Prod/1/01,iPhone 17 Pro Max 2TB,simfree未開封,,,,"326,000円",銀-3000+++青-3000,iPhone 17 Pro Max 2TB,,2025-10-15 23:52:55
34964997,1760539975-10,https://www.mobile-ichiban.com/Prod/1/01,iPhone 17 Pro Max 2TB,simfree開封,,,,"301,000円",,iPhone 17 Pro Max 2TB,,2025-10-15 23:52:55
34964997,1760539975-11,https://www.mobile-ichiban.com/Prod/1/01,iPhone 17 Pro 256GB,simfree開封,,,,"159,000円",,iPhone 17 Pro 256GB,,2025-10-15 23:52:55
